family,group,exp,model,method,variant,train_len,eval_len,step,benchmark,pass@1,pass@4,pass@8,pass@32
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,20,aime2024,0.28229166666666666,,,0.7333333333333333
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,20,aime2025,0.23333333333333334,,,0.5
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,50,livecodebench_v5,0.14023297491039427,0.21152073732718896,0.24731182795698925,
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,50,livecodebench_v6,0.13214285714285715,0.18555102040816324,0.21142857142857144,
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,50,aime2024,0.25416666666666665,,,0.7333333333333333
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,50,aime2025,0.22708333333333333,,,0.4666666666666667
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,80,livecodebench_v5,0.10349462365591398,0.16953405017921147,0.20430107526881722,
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,80,livecodebench_v6,0.10785714285714286,0.16555102040816327,0.19428571428571428,
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,80,aime2024,0.18125,,,0.6666666666666666
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,80,aime2025,0.19791666666666666,,,0.4666666666666667
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,105,livecodebench_v5,0.08960573476702509,0.1665642601126472,0.1935483870967742,
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,105,livecodebench_v6,0.08071428571428571,0.14293877551020406,0.1657142857142857,
